ID,Date,Real_Visual_Angle,Distance,Elevation,Task,Reported_Visual_Angle,Ratio_Visual_Angle,Study,Iteration,TransformID,TransformLabel
1,02/16/0024,2.36338945002999,62.8538979360867,2.37295022764419,Perceptual,5.21288254174861,2.20568071913939,QuadStudy,1,2,absElevation
1,02/16/0024,7.33856027190383,20.3669459114517,7.34107517941272,Perceptual,7.68490625582972,1.04719535863893,QuadStudy,1,2,absElevation
1,02/16/0024,2.95223914553063,50.3373160365151,2.96346826953653,Perceptual,4.41898999209993,1.49682656934815,QuadStudy,1,2,absElevation
1,02/16/0024,4.33706574300479,34.3088412185547,4.35018743835925,Perceptual,5.88687426353551,1.35734033384907,QuadStudy,1,2,absElevation
1,02/16/0024,0.370779037156586,62.8626390740955,2.55799716828007,Perceptual,1.04326745830232,2.81371748063991,QuadStudy,1,2,absElevation
1,02/16/0024,1.15268412998999,20.3939057406864,7.90728638048713,Perceptual,1.62469681337902,1.40949005118439,QuadStudy,1,2,absElevation
1,02/16/0024,0.463196299507583,50.3482302703879,3.19439921406215,Perceptual,1.23138427952127,2.65845016644205,QuadStudy,1,2,absElevation
1,02/16/0024,0.680641068700974,34.3248523865726,4.68839802993912,Perceptual,1.39384350283648,2.04783926056163,QuadStudy,1,2,absElevation
2,02/16/0024,2.36338945002999,62.8538979360867,2.37295022764419,Perceptual,3.22325114970593,1.36382564865263,QuadStudy,1,2,absElevation
2,02/16/0024,7.33856027190383,20.3669459114517,7.34107517941272,Perceptual,7.46699834456201,1.01750180797041,QuadStudy,1,2,absElevation
2,02/16/0024,2.95223914553063,50.3373160365151,2.96346826953653,Perceptual,5.01745516192283,1.69954225067394,QuadStudy,1,2,absElevation
2,02/16/0024,4.33706574300479,34.3088412185547,4.35018743835925,Perceptual,6.68339321049716,1.54099421279853,QuadStudy,1,2,absElevation
2,02/16/0024,0.370779037156586,62.8626390740955,2.55799716828007,Perceptual,0.932249743207225,2.51430002719793,QuadStudy,1,2,absElevation
2,02/16/0024,1.15268412998999,20.3939057406864,7.90728638048713,Perceptual,2.08766604885264,1.8111345463486,QuadStudy,1,2,absElevation
2,02/16/0024,0.463196299507583,50.3482302703879,3.19439921406215,Perceptual,1.18471797443858,2.55770172537655,QuadStudy,1,2,absElevation
2,02/16/0024,0.680641068700974,34.3248523865726,4.68839802993912,Perceptual,1.58281662878821,2.325479171877,QuadStudy,1,2,absElevation
3,02/16/0024,2.36338945002999,62.8538979360867,2.37295022764419,Perceptual,1.98605480600895,0.840341741384921,QuadStudy,1,2,absElevation
3,02/16/0024,7.33856027190383,20.3669459114517,7.34107517941272,Perceptual,4.93393509758161,0.672330118548117,QuadStudy,1,2,absElevation
3,02/16/0024,2.95223914553063,50.3373160365151,2.96346826953653,Perceptual,2.64468548926295,0.895823596562874,QuadStudy,1,2,absElevation
3,02/16/0024,4.33706574300479,34.3088412185547,4.35018743835925,Perceptual,3.16955792456154,0.730806981580505,QuadStudy,1,2,absElevation
