"","ID","Gender","Date","Time","Age","Version","Measurement","Reported_Visual_Angle","Real_Visual_Angle","Task","Ratio_Visual_Angle","Ground_Distance","Width","Ground_Elevation","Template_Size","Arm_Length","Observer_Distance","Observer_Elevation"
"1",1,"Male","2/16/24","09:00",56,1,"Stick1_Perceptual_VA",5.21288254174861,2.36338945002999,"Perceptual",2.20568071913939,6280,14,3.45399333027635,6.1,67,6285.38979360867,2.37295022764419
"2",1,"Male","2/16/24","09:00",56,1,"Stick2_Perceptual_VA",7.68490625582972,7.33856027190383,"Perceptual",1.04719535863893,2020,14,10.6276013401091,9,67,2036.69459114517,7.34107517941272
"3",1,"Male","2/16/24","09:00",56,1,"Stick3_Perceptual_VA",4.41898999209993,2.95223914553063,"Perceptual",1.49682656934815,5027,14,4.31199036449732,5.17,67,5033.73160365151,2.96346826953653
"4",1,"Male","2/16/24","09:00",56,1,"Stick4_Perceptual_VA",5.88687426353551,4.33706574300479,"Perceptual",1.35734033384907,3421,14,6.32247066698118,6.89,67,3430.88412185547,4.35018743835925
"5",1,"Male","2/16/24","09:00",56,1,"Lamp1_Perceptual_VA",1.04326745830232,0.370779037156586,"Perceptual",2.81371748063991,6280,40.64,3.6386740079785,1.22,67,6286.26390740955,2.55799716828007
"6",1,"Male","2/16/24","09:00",56,1,"Lamp2_Perceptual_VA",1.62469681337902,1.15268412998999,"Perceptual",1.40949005118439,2020,40.64,11.1833285742305,1.9,67,2039.39057406864,7.90728638048713
"7",1,"Male","2/16/24","09:00",56,1,"Lamp3_Perceptual_VA",1.23138427952127,0.463196299507583,"Perceptual",2.65845016644205,5027,40.64,4.54220950068023,1.44,67,5034.82302703879,3.19439921406215
"8",1,"Male","2/16/24","09:00",56,1,"Lamp4_Perceptual_VA",1.39384350283648,0.680641068700974,"Perceptual",2.04783926056163,3421,40.64,6.65844569578084,1.63,67,3432.48523865726,4.68839802993912
"9",2,"Female","2/16/24","13:30",26,1,"Stick1_Perceptual_VA",3.22325114970593,2.36338945002999,"Perceptual",1.36382564865263,6280,14,3.45399333027635,3.32,59,6285.38979360867,2.37295022764419
"10",2,"Female","2/16/24","13:30",26,1,"Stick2_Perceptual_VA",7.46699834456201,7.33856027190383,"Perceptual",1.01750180797041,2020,14,10.6276013401091,7.7,59,2036.69459114517,7.34107517941272
"11",2,"Female","2/16/24","13:30",26,1,"Stick3_Perceptual_VA",5.01745516192283,2.95223914553063,"Perceptual",1.69954225067394,5027,14,4.31199036449732,5.17,59,5033.73160365151,2.96346826953653
"12",2,"Female","2/16/24","13:30",26,1,"Stick4_Perceptual_VA",6.68339321049716,4.33706574300479,"Perceptual",1.54099421279853,3421,14,6.32247066698118,6.89,59,3430.88412185547,4.35018743835925
"13",2,"Female","2/16/24","13:30",26,1,"Lamp1_Perceptual_VA",0.932249743207225,0.370779037156586,"Perceptual",2.51430002719793,6280,40.64,3.6386740079785,0.96,59,6286.26390740955,2.55799716828007
"14",2,"Female","2/16/24","13:30",26,1,"Lamp2_Perceptual_VA",2.08766604885264,1.15268412998999,"Perceptual",1.8111345463486,2020,40.64,11.1833285742305,2.15,59,2039.39057406864,7.90728638048713
"15",2,"Female","2/16/24","13:30",26,1,"Lamp3_Perceptual_VA",1.18471797443858,0.463196299507583,"Perceptual",2.55770172537655,5027,40.64,4.54220950068023,1.22,59,5034.82302703879,3.19439921406215
"16",2,"Female","2/16/24","13:30",26,1,"Lamp4_Perceptual_VA",1.58281662878821,0.680641068700974,"Perceptual",2.325479171877,3421,40.64,6.65844569578084,1.63,59,3432.48523865726,4.68839802993912
"17",3,"Male","2/16/24","14:30",21,1,"Stick1_Perceptual_VA",1.98605480600895,2.36338945002999,"Perceptual",0.840341741384921,6280,14,3.45399333027635,2.08,60,6285.38979360867,2.37295022764419
"18",3,"Male","2/16/24","14:30",21,1,"Stick2_Perceptual_VA",4.93393509758161,7.33856027190383,"Perceptual",0.672330118548117,2020,14,10.6276013401091,5.17,60,2036.69459114517,7.34107517941272
"19",3,"Male","2/16/24","14:30",21,1,"Stick3_Perceptual_VA",2.64468548926295,2.95223914553063,"Perceptual",0.895823596562874,5027,14,4.31199036449732,2.77,60,5033.73160365151,2.96346826953653
"20",3,"Male","2/16/24","14:30",21,1,"Stick4_Perceptual_VA",3.16955792456154,4.33706574300479,"Perceptual",0.730806981580505,3421,14,6.32247066698118,3.32,60,3430.88412185547,4.35018743835925
"21",3,"Male","2/16/24","14:30",21,1,"Lamp1_Perceptual_VA",0.496560314362531,0.370779037156586,"Perceptual",1.33923513629716,6280,40.64,3.6386740079785,0.52,60,6286.26390740955,2.55799716828007
"22",3,"Male","2/16/24","14:30",21,1,"Lamp2_Perceptual_VA",1.16497404686829,1.15268412998999,"Perceptual",1.01066199885862,2020,40.64,11.1833285742305,1.22,60,2039.39057406864,7.90728638048713
"23",3,"Male","2/16/24","14:30",21,1,"Lamp3_Perceptual_VA",0.620698207619945,0.463196299507583,"Perceptual",1.3400327426618,5027,40.64,4.54220950068023,0.65,60,5034.82302703879,3.19439921406215
"24",3,"Male","2/16/24","14:30",21,1,"Lamp4_Perceptual_VA",0.744834644033682,0.680641068700974,"Perceptual",1.09431340288535,3421,40.64,6.65844569578084,0.78,60,3432.48523865726,4.68839802993912
